age,gender,height_cm,weight_kg,bmi,bmi_category,bmr,tdee,activity_level,activity_multiplier,Mod_act,Vig_act,has_activity_data,fitness_goal,workout_template_id,nutrition_template_id,data_source,split
18,Female,167.6,81.6,29.05,Overweight,1644.0,2548.2,Moderate Activity,1.55,3.0,0.0,True,Maintenance,8,7,real,train
64,Male,172.7,88.5,29.65,Overweight,1738.9,3147.4,High Activity,1.81,10.0,0.0,True,Fat Loss,3,2,real,train
56,Female,157.5,54.4,21.95,Normal,1196.3,2165.3,High Activity,1.81,9.0,0.0,True,Maintenance,9,6,real,train
19,Male,182.9,95.3,28.48,Overweight,2134.3,3863.0,High Activity,1.81,20.0,0.0,True,Fat Loss,3,2,real,train
50,Male,180.3,83.9,25.8,Overweight,1794.2,3247.4,High Activity,1.81,40.0,40.0,True,Fat Loss,3,2,real,train
55,Male,182.9,95.3,28.48,Overweight,1929.9,2489.6,Low Activity,1.29,2.0,0.0,True,Fat Loss,1,2,real,train
61,Female,167.6,68.0,24.21,Normal,1332.0,2410.9,High Activity,1.81,14.0,0.0,True,Maintenance,9,6,real,train
59,Female,167.6,99.8,35.51,Obese,1634.2,2108.2,Low Activity,1.29,1.0,0.0,True,Fat Loss,1,3,real,train
31,Female,175.3,102.1,33.23,Obese,1800.1,2790.1,Moderate Activity,1.55,4.0,1.0,True,Fat Loss,2,3,real,train
60,Male,182.9,79.4,23.73,Normal,1688.8,3056.8,High Activity,1.81,8.0,6.0,True,Fat Loss,3,1,real,train
39,Female,165.1,90.7,33.28,Obese,1629.1,2101.5,Low Activity,1.29,0.0,0.0,True,Fat Loss,1,3,real,train
52,Male,170.2,124.7,43.07,Obese,2281.0,4128.5,High Activity,1.81,5.0,0.0,True,Fat Loss,3,3,real,train
61,Female,157.5,65.8,26.52,Overweight,1279.5,2315.9,High Activity,1.81,5.0,7.0,True,Fat Loss,3,2,real,train
53,Female,165.1,83.5,30.62,Obese,1501.3,2327.1,Moderate Activity,1.55,0.0,0.0,False,Fat Loss,2,3,real,train
45,Female,167.6,99.8,35.51,Obese,1694.9,3067.7,High Activity,1.81,10.0,0.0,True,Fat Loss,3,3,real,train
60,Female,154.9,45.4,18.89,Normal,1087.2,1967.9,High Activity,1.81,4.0,5.0,True,Fat Loss,3,1,real,train
65,Female,160.0,81.6,31.89,Obese,1416.9,2564.5,High Activity,1.81,30.0,0.0,True,Fat Loss,3,3,real,train
53,Female,154.9,59.0,24.56,Normal,1243.4,2250.5,High Activity,1.81,18.0,7.0,True,Maintenance,9,6,real,train
41,Female,152.4,53.5,23.05,Normal,1237.1,2239.2,High Activity,1.81,6.0,7.0,True,Fat Loss,3,1,real,train
64,Female,160.0,68.0,26.57,Overweight,1295.4,2344.6,High Activity,1.81,10.0,1.0,True,Maintenance,9,7,real,train
34,Male,172.7,93.0,31.17,Obese,1970.0,3565.6,High Activity,1.81,3.0,3.0,True,Fat Loss,3,3,real,train
61,Female,162.6,45.4,17.16,Underweight,1106.5,2002.8,High Activity,1.81,20.0,1.0,True,Muscle Gain,6,4,real,train
28,Male,180.3,86.2,26.5,Overweight,1949.4,3528.5,High Activity,1.81,20.0,30.0,True,Fat Loss,3,2,real,train
25,Male,182.9,104.3,31.19,Obese,2221.7,4021.3,High Activity,1.81,6.0,0.0,True,Fat Loss,3,3,real,train
49,Female,167.6,61.2,21.79,Normal,1321.0,2391.0,High Activity,1.81,8.0,0.0,True,Muscle Gain,6,5,real,train
53,Female,154.9,59.0,24.56,Normal,1243.4,2250.5,High Activity,1.81,5.0,0.0,True,Maintenance,9,6,real,train
37,Female,167.6,95.3,33.89,Obese,1687.5,3054.5,High Activity,1.81,15.0,0.0,True,Fat Loss,3,3,real,train
44,Female,157.5,81.6,32.92,Obese,1499.9,2714.9,High Activity,1.81,7.0,0.0,True,Fat Loss,3,3,real,train
20,Female,175.3,59.0,19.2,Normal,1449.2,2246.3,Moderate Activity,1.55,4.0,1.0,True,Fat Loss,2,1,real,train
29,Female,162.6,56.7,21.46,Normal,1349.9,2443.4,High Activity,1.81,5.0,3.0,True,Maintenance,9,6,real,train
57,Male,167.6,74.4,26.47,Overweight,1565.9,2834.2,High Activity,1.81,20.0,0.0,True,Fat Loss,3,2,real,train
18,Female,167.6,61.2,21.79,Normal,1455.2,2634.0,High Activity,1.81,6.0,2.0,True,Muscle Gain,6,5,real,train
40,Female,167.6,68.0,24.21,Normal,1422.9,2575.4,High Activity,1.81,30.0,5.0,True,Maintenance,9,6,real,train
59,Female,162.6,63.5,24.03,Normal,1282.9,2322.1,High Activity,1.81,8.0,0.0,True,Maintenance,9,6,real,train
41,Female,160.0,52.2,20.37,Normal,1248.2,2259.2,High Activity,1.81,0.0,5.0,True,Muscle Gain,6,5,real,train
55,Female,157.5,72.6,29.26,Overweight,1368.4,2121.0,Moderate Activity,1.55,4.0,2.0,True,Fat Loss,2,2,real,train
57,Male,170.2,95.3,32.89,Obese,1857.6,3362.2,High Activity,1.81,6.0,0.0,True,Fat Loss,3,3,real,train
34,Male,172.7,99.8,33.45,Obese,2061.1,3194.7,Moderate Activity,1.55,2.0,2.0,True,Fat Loss,2,3,real,train
43,Male,172.7,79.4,26.61,Overweight,1736.6,3143.2,High Activity,1.81,4.0,5.0,True,Fat Loss,3,2,real,train
48,Male,175.3,90.7,29.53,Overweight,1872.3,3388.9,High Activity,1.81,10.0,5.0,True,Fat Loss,3,2,real,train
53,Female,165.1,97.5,35.78,Obese,1631.4,2952.8,High Activity,1.81,8.0,5.0,True,Fat Loss,3,3,real,train
21,Male,154.9,99.8,41.57,Obese,2049.6,3709.8,High Activity,1.81,60.0,20.0,True,Fat Loss,3,3,real,train
50,Female,167.6,77.1,27.44,Overweight,1463.5,2648.9,High Activity,1.81,12.0,0.0,True,Fat Loss,3,2,real,train
50,Male,180.3,65.8,20.22,Normal,1551.1,2807.5,High Activity,1.81,30.0,0.0,True,Fat Loss,3,1,real,train
57,Male,193.0,108.9,29.21,Overweight,2149.6,3331.9,Moderate Activity,1.55,4.0,1.0,True,Fat Loss,2,2,real,train
53,Female,167.6,72.6,25.82,Overweight,1408.6,2549.5,High Activity,1.81,10.0,0.0,True,Fat Loss,3,2,real,train
